"","gene_id","gene_name","gene_type","chr","X1kb_up_tss_start","strand","number_of_dbp","tpm_homo_sapiens_cytosolic_fraction","tpm_homo_sapiens_hepg2","tpm_homo_sapiens_insoluble_cytoplasmic_fraction","tpm_homo_sapiens_membrane_fraction","tpm_homo_sapiens_nuclear_fraction"
"105","ENSG00000005810.18","MYCBP2","protein_coding","chr13",77326095,"-",272,0.230488,12.086915,24.943313,2.389375,26.2386125
"106","ENSG00000005812.11","FBXL3","protein_coding","chr13",77026196,"-",259,0.1725575,12.118891,22.678832,3.1028105,8.289644
"107","ENSG00000005844.18","ITGAL","protein_coding","chr16",30471719,"+",95,0.152145,3.1651305,1.690799,1.0253695,6.0911835
"108","ENSG00000005882.12","PDK2","protein_coding","chr17",50093737,"+",313,1.0835745,9.1211505,14.1453785,4.623633,6.064777
"109","ENSG00000005884.18","ITGA3","protein_coding","chr17",50054968,"+",125,0.2479165,1.009521,0.3132965,0.370231,1.867032
"110","ENSG00000005889.15","ZFX","protein_coding","chrX",24148173,"+",215,2.415882,22.873894,46.384934,8.0745315,23.2794515
"111","ENSG00000005893.15","LAMP2","protein_coding","chrX",120468366,"-",212,0.3048125,63.01399,45.7534425,4.435649,42.5928145
"112","ENSG00000005961.19","ITGA2B","protein_coding","chr17",44388650,"-",9,0.0305785,0.3320265,0.2381785,0.15482,0.512469
"113","ENSG00000005981.13","ASB4","protein_coding","chr7",95477444,"+",96,0.0081865,0.938032,1.1514205,0.1783705,1.277694
"114","ENSG00000006007.12","GDE1","protein_coding","chr16",19521124,"-",287,2.4408005,27.829658,35.2851855,31.991357,15.883147
"115","ENSG00000006015.17","REX1BD","protein_coding","chr19",18587685,"+",368,1.878898,13.974779,17.9046325,7.809289,8.7067085
"116","ENSG00000006016.11","CRLF1","protein_coding","chr19",18606742,"-",103,6.361569,85.629061,72.805875,64.00197,80.0223565
"117","ENSG00000006025.12","OSBPL7","protein_coding","chr17",47820835,"-",189,0.3912965,2.7075395,0.6863695,0.5522205,3.887848
"118","ENSG00000006042.12","TMEM98","protein_coding","chr17",32926910,"+",236,6.324048,51.918653,62.442148,42.119623,37.4632275
"119","ENSG00000006047.13","YBX2","protein_coding","chr17",7293640,"-",0,0.00881,0.206888,0.0784595,0.0720395,0.4652755
"120","ENSG00000006059.4","KRT33A","protein_coding","chr17",41349829,"-",0,0,0,0,0,0
"121","ENSG00000006062.17","MAP3K14","protein_coding","chr17",45316030,"-",0,0.1837015,1.530642,0.7113575,0.692878,1.836333
"122","ENSG00000006071.14","ABCC8","protein_coding","chr11",17475880,"-",14,0.0041425,0.1050005,0.043768,0.0488895,0.368219
"123","ENSG00000006116.3","CACNG3","protein_coding","chr16",24254553,"+",120,0,0,0,0,0
"124","ENSG00000006118.14","TMEM132A","protein_coding","chr11",60923463,"+",229,0.558345,11.7596335,4.573629,4.5843315,12.4557225
"125","ENSG00000006125.18","AP2B1","protein_coding","chr17",35577046,"+",293,0.415161,11.1317225,38.032397,6.709854,14.030628
"126","ENSG00000006128.12","TAC1","protein_coding","chr7",97731084,"+",4,0,0,0,0,0
"127","ENSG00000006194.10","ZNF263","protein_coding","chr16",3262800,"+",332,0.3838875,16.795173,25.722098,7.0010145,13.923114
"128","ENSG00000006210.7","CX3CL1","protein_coding","chr16",57371477,"+",367,0.9964845,25.407451,15.541494,8.0934165,24.8083955
"129","ENSG00000006282.21","SPATA20","protein_coding","chr17",50542058,"+",331,5.2625285,29.506469,23.071923,24.9043855,24.159095
"130","ENSG00000006283.18","CACNA1G","protein_coding","chr17",50559715,"+",133,0.001889,0.133963,0.0851145,0.0191415,0.1841865
"131","ENSG00000006327.13","TNFRSF12A","protein_coding","chr16",3017445,"+",137,5.4172755,33.302845,25.613474,24.5437615,22.001235
"132","ENSG00000006377.11","DLX6","protein_coding","chr7",97004553,"+",296,0.2841935,2.494226,2.8953135,1.7327035,2.8813295
"133","ENSG00000006432.15","MAP3K9","protein_coding","chr14",70808535,"-",241,0.122603,2.253282,2.2401395,0.539878,2.2020185
"134","ENSG00000006451.8","RALA","protein_coding","chr7",39622565,"+",298,0.377196,8.9387625,24.1429865,4.427526,8.057732
"135","ENSG00000006453.14","BAIAP2L1","protein_coding","chr7",98400091,"-",271,0.4571395,7.062757,9.627914,4.354344,4.632142
"136","ENSG00000006459.11","KDM7A","protein_coding","chr7",140175984,"-",302,0.101955,5.2621385,9.915428,1.11398,9.416831
"137","ENSG00000006468.14","ETV1","protein_coding","chr7",13990426,"-",82,0.0022105,0.083165,0.3302015,0.0115615,0.2091445
"138","ENSG00000006530.18","AGK","protein_coding","chr7",141550278,"+",320,0.6491965,19.372706,22.399116,2.926858,24.0016235
"139","ENSG00000006534.16","ALDH3B1","protein_coding","chr11",68007578,"+",87,0.2381705,3.536911,4.137116,1.329155,3.333564
"140","ENSG00000006555.11","TTC22","protein_coding","chr1",54800324,"-",25,0.0426385,0.4109775,0.087815,0.2360945,0.7885385
"141","ENSG00000006576.16","PHTF2","protein_coding","chr7",77797792,"+",277,0.1144805,5.2527755,5.621894,1.530676,6.1086885
"142","ENSG00000006606.8","CCL26","protein_coding","chr7",75788897,"-",0,0,0.0704725,0,0,0
"143","ENSG00000006607.14","FARP2","protein_coding","chr2",241355285,"+",297,4.2141765,19.284615,30.5533005,7.597202,19.8222455
"144","ENSG00000006611.16","USH1C","protein_coding","chr11",17543417,"-",7,0,0.0232195,0,0,0.082875
"145","ENSG00000006625.18","GGCT","protein_coding","chr7",30503842,"-",262,1.6616355,39.119064,72.618066,17.5404335,13.031265
"146","ENSG00000006634.8","DBF4","protein_coding","chr7",87875216,"+",343,0.6169745,36.094695,69.220515,11.546098,21.4063755
"147","ENSG00000006638.11","TBXA2R","protein_coding","chr19",3605841,"-",72,0.8312255,1.65076,0.453821,2.1443125,3.7801565
"148","ENSG00000006652.14","IFRD1","protein_coding","chr7",112421968,"+",132,0.5184255,41.5916465,43.992282,7.424367,52.00568
"149","ENSG00000006659.13","LGALS14","protein_coding","chr19",39703481,"+",1,0.002604,0.0202555,0,0.0172045,0.0439985
"150","ENSG00000006695.12","COX10","protein_coding","chr17",14068490,"+",322,1.083906,10.5683525,13.2776175,7.4114015,11.214032
"151","ENSG00000006704.10","GTF2IRD1","protein_coding","chr7",74452790,"+",240,0.374848,5.548596,6.8707245,3.9014295,5.639319
"152","ENSG00000006712.15","PAF1","protein_coding","chr19",39390155,"-",275,0.3584355,12.968537,15.754891,2.4410855,7.907602
"153","ENSG00000006715.16","VPS41","protein_coding","chr7",38931395,"-",19,0.2882025,20.185703,37.899576,1.944151,26.11452
"154","ENSG00000006740.17","ARHGAP44","protein_coding","chr17",12788498,"+",160,0.0960155,1.746732,1.9121435,1.189946,1.8112475
"155","ENSG00000006744.19","ELAC2","protein_coding","chr17",13017066,"-",261,0.6648415,33.6143605,36.856179,5.7258235,34.9690075
"156","ENSG00000006747.15","SCIN","protein_coding","chr7",12569577,"+",7,0.0280855,0.7803725,0.147009,0.280755,1.343294
"157","ENSG00000006756.16","ARSD","protein_coding","chrX",2928350,"-",233,0.3198405,4.792419,1.993875,1.501674,8.3582005
"158","ENSG00000006757.12","PNPLA4","protein_coding","chrX",7926740,"-",231,1.152466,7.252417,10.1841605,5.182725,4.1573765
"159","ENSG00000006788.14","MYH13","protein_coding","chr17",10372131,"-",2,0,0,0,0,0
"160","ENSG00000006831.10","ADIPOR2","protein_coding","chr12",1687574,"+",0,1.3200265,19.6624625,26.893331,8.982583,30.7521005
"161","ENSG00000006837.12","CDKL3","protein_coding","chr5",134370048,"-",327,0.267344,3.186677,3.038262,1.7351125,4.267198
"162","ENSG00000007001.12","UPP2","protein_coding","chr2",157875702,"+",246,0.0024285,0.13018,0.102246,0.0653825,0.2397265
"163","ENSG00000007038.11","PRSS21","protein_coding","chr16",2816180,"+",9,0,0,0,0,0
"164","ENSG00000007047.15","MARK4","protein_coding","chr19",45078288,"+",352,2.2620995,4.736194,7.8434895,10.799057,4.7621925
"165","ENSG00000007062.11","PROM1","protein_coding","chr4",16083379,"-",99,0.127465,1.9760755,1.3918715,0.416501,2.4850375
"166","ENSG00000007080.11","CCDC124","protein_coding","chr19",17932015,"+",295,0.914383,8.550829,10.753485,5.5665295,6.221857
"167","ENSG00000007129.18","CEACAM21","protein_coding","chr19",41548518,"+",0,0.004161,0,0,0.012022,0
"168","ENSG00000007168.13","PAFAH1B1","protein_coding","chr17",2592210,"+",278,1.20452,34.0649885,55.7375475,9.109084,18.8813365
"169","ENSG00000007171.18","NOS2","protein_coding","chr17",27799530,"-",20,0,0.00543,0.005648,0.001923,0.0039665
"170","ENSG00000007174.18","DNAH9","protein_coding","chr17",11597470,"+",41,0.032778,0.4000975,0.158613,0.0769,0.70945
"171","ENSG00000007202.15","KIAA0100","protein_coding","chr17",28644455,"-",254,0.983609,28.968521,35.541599,9.4422085,33.178523
"172","ENSG00000007216.14","SLC13A2","protein_coding","chr17",28472293,"+",14,0,0.002831,0,0.006714,0.0169905
"173","ENSG00000007237.18","GAS7","protein_coding","chr17",10197552,"-",5,0.112346,2.325284,4.111107,1.3092885,1.6955765
"174","ENSG00000007255.10","TRAPPC6A","protein_coding","chr19",45177238,"-",258,0.7439525,3.0823615,5.116744,2.4724815,1.132159
"175","ENSG00000007264.15","MATK","protein_coding","chr19",3801130,"-",9,0.3021495,1.808717,0.8016275,0.53366,4.767412
"176","ENSG00000007306.15","CEACAM7","protein_coding","chr19",41705977,"-",114,0,0,0,0,0
"177","ENSG00000007312.12","CD79B","protein_coding","chr17",63931355,"-",29,0.0024315,0.0052145,0.228696,0.013046,0.0140525
"178","ENSG00000007314.12","SCN4A","protein_coding","chr17",63971919,"-",6,0,0.0045205,0.002067,0.000885,0.00426
"179","ENSG00000007341.19","ST7L","protein_coding","chr1",112619826,"-",304,1.0107015,11.7299985,8.730598,3.9975635,14.964196
"180","ENSG00000007350.17","TKTL1","protein_coding","chrX",154294795,"+",0,0,0.016043,0,0,0.0076855
"181","ENSG00000007372.23","PAX6","protein_coding","chr11",31816962,"-",31,0.0178125,0.250622,0.06715,0.0511795,0.7704025
"182","ENSG00000007376.8","RPUSD1","protein_coding","chr16",787398,"-",205,2.214814,12.9763975,18.3918165,15.9658965,6.656867
"183","ENSG00000007384.15","RHBDF1","protein_coding","chr16",75356,"-",262,0.128624,2.628342,1.201934,0.5463355,3.6856475
"184","ENSG00000007392.16","LUC7L","protein_coding","chr16",228464,"-",345,1.1491005,24.5380035,27.486,5.1576345,24.1352355
"185","ENSG00000007402.11","CACNA2D2","protein_coding","chr3",50503245,"-",15,0,0.027684,0.0110275,0.0040715,0.067437
"186","ENSG00000007516.13","BAIAP3","protein_coding","chr16",1332601,"+",154,0.1366545,1.4286575,1.1302055,0.255294,1.4367955
"187","ENSG00000007520.4","TSR3","protein_coding","chr16",1350879,"-",238,12.104975,30.1911075,43.80936,58.2588085,11.219328
"188","ENSG00000007541.16","PIGQ","protein_coding","chr16",565995,"+",136,2.370375,11.55257,7.4875075,9.5040145,10.95469
"189","ENSG00000007545.15","CRAMP1","protein_coding","chr16",1611325,"+",243,0.7041775,3.26508,4.0357565,1.7785375,3.2482245
"190","ENSG00000007866.21","TEAD3","protein_coding","chr6",35496080,"-",309,0.3389735,6.6340425,9.093029,4.6010035,5.0508755
"191","ENSG00000007908.16","SELE","protein_coding","chr1",169763706,"-",9,0,0.022475,0.0239845,0.0169555,0.0054805
"192","ENSG00000007923.16","DNAJC11","protein_coding","chr1",6700925,"-",360,0.968775,24.622594,33.855987,4.8531105,21.155699
"193","ENSG00000007933.13","FMO3","protein_coding","chr1",171089901,"+",0,0.02978,0.773967,0.246573,0.2215945,2.031222
"194","ENSG00000007944.15","MYLIP","protein_coding","chr6",16128086,"+",357,0.022063,1.670773,1.931277,0.394973,2.8536665
"195","ENSG00000007952.18","NOX1","protein_coding","chrX",100873360,"-",3,0.0025505,0.02117,0.064954,0.013276,0.055149
"196","ENSG00000007968.7","E2F2","protein_coding","chr1",23530234,"-",0,0.101935,3.2015695,3.8547235,1.053257,2.690587
"197","ENSG00000008018.9","PSMB1","protein_coding","chr6",170552308,"-",343,6.4274325,256.3258975,513.608088,37.3503455,73.3351055
"198","ENSG00000008056.14","SYN1","protein_coding","chrX",47618858,"-",221,0.000972,0.0176815,0.0071045,0,0.066047
"199","ENSG00000008083.14","JARID2","protein_coding","chr6",15245069,"+",339,0.076856,4.9501855,6.639022,0.903992,4.8884635
"200","ENSG00000008086.12","CDKL5","protein_coding","chrX",18424583,"+",144,0.429978,5.916002,5.3007075,1.326848,12.3121145
"201","ENSG00000008118.10","CAMK1G","protein_coding","chr1",209582714,"+",0,0,0,0,0,0
"202","ENSG00000008128.23","CDK11A","protein_coding","chr1",1723358,"-",264,2.5845575,8.484014,2.534863,2.464942,10.506956
"203","ENSG00000008130.15","NADK","protein_coding","chr1",1779458,"-",241,3.048991,28.396847,31.3500035,24.5575825,22.0025075
"204","ENSG00000008196.13","TFAP2B","protein_coding","chr6",50817723,"+",3,0,0,0,0,0
"205","ENSG00000008197.4","TFAP2D","protein_coding","chr6",50712828,"+",3,0,0,0,0,0
"206","ENSG00000008226.20","DLEC1","protein_coding","chr3",38038205,"+",11,0.0148785,1.4114505,0.1821875,0.0800815,2.2355595
"207","ENSG00000008256.16","CYTH3","protein_coding","chr7",6271645,"-",193,0.09952,1.785615,1.782381,0.9952245,1.7374405
"208","ENSG00000008277.14","ADAM22","protein_coding","chr7",87933143,"+",268,0.1252255,3.830734,2.1683635,0.8980015,7.7943875
"209","ENSG00000008282.8","SYPL1","protein_coding","chr7",106111577,"-",282,0.3578685,21.069227,24.054259,5.992389,22.462257
"210","ENSG00000008283.16","CYB561","protein_coding","chr17",63445355,"-",202,0.2690115,3.6840885,3.61531,2.5574025,2.636341
"211","ENSG00000008294.21","SPAG9","protein_coding","chr17",51119869,"-",311,1.3853875,40.0220445,61.144426,6.886286,44.073244
